Collocation	Score (raw_freq)
('von', 'bis')	0.0008322876657940385
('der', 'bei')	0.0008301644829731353
('dass', 'sich')	0.0008237949345104258
('die', 'als')	0.0008216717516895227
('mit', 'einer')	0.0008216717516895227
('zu', 'den')	0.0008216717516895227
('am', 'in')	0.0008174253860477165
('den', 'in')	0.0008131790204059101
('nach', 'dem')	0.000811055837585007
('in', 'von')	0.0008089326547641038
('zum', 'beispiel')	0.0008025631063013943
('zwischen', 'und')	0.0007961935578386848
('der', 'dass')	0.0007919471921968785
('die', 'vor')	0.0007919471921968785
('hat', 'sich')	0.0007919471921968785
('in', 'ein')	0.0007898240093759753
('dass', 'der')	0.000785577643734169
('von', 'zu')	0.000785577643734169
('und', 'ein')	0.0007834544609132658
('und', 'ihre')	0.0007813312780923627
